Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Barking and Dagenham,Room,10,750,467,542,827
Barking and Dagenham,Studio,10,779,750,750,850
Barking and Dagenham,One Bedroom,200,1046,950,1050,1100
Barking and Dagenham,Two Bedrooms,340,1266,1200,1250,1350
Barking and Dagenham,Three Bedrooms,240,1505,1400,1500,1600
Barking and Dagenham,Four or More Bedrooms,40,1844,1700,1800,2000
Barnet,Room,30,600,500,600,657
Barnet,Studio,110,962,850,950,1050
Barnet,One Bedroom,550,1231,1100,1225,1350
Barnet,Two Bedrooms,1030,1522,1365,1500,1650
Barnet,Three Bedrooms,370,2002,1750,1900,2200
Barnet,Four or More Bedrooms,200,2831,2205,2650,3300
Bexley,Room,-,..,..,..,..
Bexley,Studio,20,876,800,850,925
Bexley,One Bedroom,170,1011,900,995,1100
Bexley,Two Bedrooms,300,1265,1150,1250,1400
Bexley,Three Bedrooms,260,1531,1300,1500,1750
Bexley,Four or More Bedrooms,70,1692,1371,1625,2000
Brent,Room,30,798,671,850,890
Brent,Studio,50,884,800,888,950
Brent,One Bedroom,170,1224,1100,1200,1300
Brent,Two Bedrooms,270,1513,1350,1450,1600
Brent,Three Bedrooms,210,1852,1700,1800,2000
Brent,Four or More Bedrooms,50,2431,2000,2300,2563
Bromley,Room,-,..,..,..,..
Bromley,Studio,40,842,750,820,900
Bromley,One Bedroom,770,1084,975,1075,1200
Bromley,Two Bedrooms,1020,1382,1250,1350,1500
Bromley,Three Bedrooms,430,1751,1500,1700,1950
Bromley,Four or More Bedrooms,180,2624,2000,2400,2800
Camden,Room,20,2158,1275,2290,3064
Camden,Studio,160,1029,888,996,1100
Camden,One Bedroom,430,1718,1350,1603,1880
Camden,Two Bedrooms,510,2407,1850,2200,2600
Camden,Three Bedrooms,190,3200,2513,3000,3683
Camden,Four or More Bedrooms,60,4431,3087,4000,5200
City of London,Room,0,.,.,.,.
City of London,Studio,20,1696,1350,1582,1950
City of London,One Bedroom,40,1977,1680,1900,2145
City of London,Two Bedrooms,20,2526,2250,2500,2800
City of London,Three Bedrooms,0,.,.,.,.
City of London,Four or More Bedrooms,0,.,.,.,.
Croydon,Room,30,595,495,542,692
Croydon,Studio,80,858,775,850,925
Croydon,One Bedroom,460,1007,915,990,1100
Croydon,Two Bedrooms,650,1277,1160,1250,1375
Croydon,Three Bedrooms,260,1553,1350,1500,1750
Croydon,Four or More Bedrooms,130,2155,1800,2000,2500
Ealing,Room,30,639,567,642,692
Ealing,Studio,70,986,900,990,1094
Ealing,One Bedroom,490,1282,1150,1300,1400
Ealing,Two Bedrooms,760,1578,1400,1550,1700
Ealing,Three Bedrooms,290,1974,1650,1860,2200
Ealing,Four or More Bedrooms,160,2819,2250,2550,3100
Enfield,Room,10,567,492,592,667
Enfield,Studio,40,848,800,850,900
Enfield,One Bedroom,200,1093,1000,1069,1175
Enfield,Two Bedrooms,360,1365,1278,1350,1450
Enfield,Three Bedrooms,210,1678,1513,1650,1800
Enfield,Four or More Bedrooms,60,2304,1900,2150,2500
Greenwich,Room,30,629,516,600,650
Greenwich,Studio,40,962,820,900,1050
Greenwich,One Bedroom,420,1241,1000,1200,1440
Greenwich,Two Bedrooms,740,1507,1250,1450,1700
Greenwich,Three Bedrooms,350,1802,1500,1700,2000
Greenwich,Four or More Bedrooms,100,2286,1700,2000,2600
Hackney,Room,-,..,..,..,..
Hackney,Studio,50,1208,950,1175,1350
Hackney,One Bedroom,340,1550,1300,1483,1730
Hackney,Two Bedrooms,330,1953,1600,1850,2170
Hackney,Three Bedrooms,160,2417,2000,2400,2750
Hackney,Four or More Bedrooms,60,3188,2808,3100,3467
Hammersmith and Fulham,Room,0,.,.,.,.
Hammersmith and Fulham,Studio,70,1132,964,1056,1300
Hammersmith and Fulham,One Bedroom,420,1549,1322,1500,1694
Hammersmith and Fulham,Two Bedrooms,480,2076,1650,1907,2400
Hammersmith and Fulham,Three Bedrooms,160,2967,2250,2650,3400
Hammersmith and Fulham,Four or More Bedrooms,120,4852,3500,4250,5500
Haringey,Room,90,676,592,679,742
Haringey,Studio,80,941,850,925,1000
Haringey,One Bedroom,380,1362,1250,1350,1451
Haringey,Two Bedrooms,500,1676,1475,1600,1840
Haringey,Three Bedrooms,160,2082,1750,1900,2350
Haringey,Four or More Bedrooms,120,3055,2236,2800,3425
Harrow,Room,10,605,500,592,692
Harrow,Studio,30,816,700,813,950
Harrow,One Bedroom,250,1110,997,1100,1200
Harrow,Two Bedrooms,570,1390,1275,1350,1450
Harrow,Three Bedrooms,380,1772,1625,1750,1900
Harrow,Four or More Bedrooms,140,2352,1950,2240,2515
Havering,Room,10,956,542,649,699
Havering,Studio,20,773,700,775,850
Havering,One Bedroom,200,973,900,950,1050
Havering,Two Bedrooms,340,1236,1150,1250,1350
Havering,Three Bedrooms,270,1486,1350,1475,1600
Havering,Four or More Bedrooms,50,1902,1700,1800,2100
Hillingdon,Room,50,565,483,552,627
Hillingdon,Studio,80,862,700,771,998
Hillingdon,One Bedroom,640,1035,950,1000,1115
Hillingdon,Two Bedrooms,1010,1325,1200,1300,1418
Hillingdon,Three Bedrooms,570,1530,1350,1535,1700
Hillingdon,Four or More Bedrooms,210,2111,1731,2000,2400
Hounslow,Room,60,561,500,550,619
Hounslow,Studio,70,883,700,850,1000
Hounslow,One Bedroom,380,1270,1050,1250,1481
Hounslow,Two Bedrooms,570,1519,1295,1400,1660
Hounslow,Three Bedrooms,290,1778,1500,1650,1850
Hounslow,Four or More Bedrooms,100,2525,1750,2000,2600
Islington,Room,20,669,592,685,744
Islington,Studio,40,1084,900,1000,1200
